#Machine :  PC-Vincent
#CPU : Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz
#Date début : 20191003_011626
#Limite de unlimited secondes par test
#
Taille des fichiers source :
  115   483  3743 empire.cpp
   76   420  2825 point.cpp
   81   342  2524 polygone.cpp
  112   385  2799 tp1.cpp
   54   255  1974 empire.h
   40   160  1181 point.h
   38   141  1099 polygone.h
  197   751  5798 tableau.h
  713  2937 21943 total
#
Carte    	Taille	Args	Superficie	Opt?	CPU	Mém.(k)
carte00.txt	3	1	125	OK	0.00	1428k
carte00.txt	3	2	225	OK	0.00	1436k
carte00.txt	3	2-100	225	OK	0.00	1436k
carte00.txt	3	2-50	225	OK	0.01	1436k
carte00.txt	3	2-10	150	OK	0.00	1436k
carte00.txt	3	2-1	125	OK	0.00	1436k
carte00.txt	3	3	275	OK	0.01	1448k
carte01.txt	3	1	125	OK	0.00	1428k
carte01.txt	3	2	170	OK	0.01	1436k
carte01.txt	3	2-1	165	OK	0.00	1436k
carte02.txt	26	1	46010	OK	0.01	1436k
carte02.txt	26	2	64460	OK	0.00	1444k
carte02.txt	26	2-500	62840	OK	0.01	1444k
carte02.txt	26	2-10	53553	Echec	0.01	1440k
carte02.txt	26	3	81289.5	Echec	0.09	1472k
carte02.txt	26	3-100	70383	Echec	0.03	1464k
carte02.txt	26	4-200	83684	Echec	0.46	1476k
carte02.txt	26	5-200	100514	Echec	5.64	1488k
carte03.txt	20	1	6560	OK	0.00	1548k
carte03.txt	20	2	13120	OK	1.85	1560k
carte03.txt	20	2-500	13120	OK	1.92	1560k
carte03.txt	20	2-10	6560	OK	1.81	1560k
carte03.txt	20	3	19680	OK	13.51	1756k
carte03.txt	20	3-100	6560	OK	0.95	1612k
carte03.txt	20	4-200	26240	OK	2.70	1740k
carte03.txt	20	5-200	32800	OK	3.51	1740k
carte04.txt	10	1	1.002e+06	OK	0.01	1984k
carte04.txt	10	2-500	1.002e+06	OK	60.71	1996k
carte05.txt	50	1	1.6008e+07	OK	0.25	9984k
