#Machine :  PC-Vincent
#CPU : Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz
#Date début : 20191001_170050
#Limite de unlimited secondes par test
#
Taille des fichiers source :
   20    63   551 empire.cpp
   76   420  2825 point.cpp
   77   325  2400 polygone.cpp
   96   303  2216 tp1.cpp
   36    92   761 empire.h
   40   160  1181 point.h
   37   135  1037 polygone.h
  197   751  5798 tableau.h
  579  2249 16769 total
#
Carte    	Taille	Args	Superficie	Opt?	CPU	Mém.(k)
carte00.txt	3	1	125	OK	0.00	1424k
carte00.txt	3	2	225	OK	0.00	1432k
carte00.txt	3	2-100	225	OK	0.00	1432k
carte00.txt	3	2-50	225	OK	0.00	1432k
carte00.txt	3	2-10	150	OK	0.00	1432k
carte00.txt	3	2-1	125	OK	0.00	1432k
carte00.txt	3	3		Echec	0.00	1324k
carte01.txt	3	1	125	OK	0.00	1424k
carte01.txt	3	2	170	OK	0.00	1432k
carte01.txt	3	2-1	165	OK	0.00	1428k
carte02.txt	26	1	46010	OK	0.00	1432k
carte02.txt	26	2	64460	OK	0.00	1436k
carte02.txt	26	2-500	62840	OK	0.01	1436k
carte02.txt	26	2-10	53553	Echec	0.01	1436k
carte02.txt	26	3		Echec	0.00	1332k
carte02.txt	26	3-100		Echec	0.00	1332k
carte02.txt	26	4-200		Echec	0.00	1328k
carte02.txt	26	5-200		Echec	0.00	1332k
carte03.txt	20	1	6560	OK	0.01	1540k
carte03.txt	20	2	13120	OK	1.76	1556k
carte03.txt	20	2-500	13120	OK	1.48	1552k
carte03.txt	20	2-10	6560	OK	1.53	1556k
carte03.txt	20	3		Echec	0.01	1460k
carte03.txt	20	3-100		Echec	0.01	1464k
carte03.txt	20	4-200		Echec	0.00	1464k
carte03.txt	20	5-200		Echec	0.00	1460k
carte04.txt	10	1	1.002e+06	OK	0.00	1980k
carte04.txt	10	2-500	1.002e+06	OK	51.04	1992k
carte05.txt	50	1	1.6008e+07	OK	0.21	9980k
