#Machine :  PC-Vincent
#CPU : Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz
#Date début : 20191006_193346
#Limite de unlimited secondes par test
#
Taille des fichiers source :
  115   483  3746 empire.cpp
   76   420  2825 point.cpp
   81   342  2524 polygone.cpp
  144   503  3656 tp1.cpp
   54   255  1977 empire.h
   40   160  1181 point.h
   38   141  1099 polygone.h
  197   751  5798 tableau.h
  745  3055 22806 total
#
Carte    	Taille	Args	Superficie	Opt?	CPU	Mém.(k)
carte00.txt	3	1	125	OK	0.00	1428k
carte00.txt	3	2	225	OK	0.00	1436k
carte00.txt	3	2-100	225	OK	0.00	1436k
carte00.txt	3	2-50	225	OK	0.00	1432k
carte00.txt	3	2-10	125	Echec	0.00	1432k
carte00.txt	3	2-1	125	OK	0.00	1436k
carte00.txt	3	3	275	OK	0.00	1448k
carte01.txt	3	1	125	OK	0.00	1424k
carte01.txt	3	2	170	OK	0.00	1436k
carte01.txt	3	2-1	165	OK	0.00	1436k
carte02.txt	26	1	46010	OK	0.00	1436k
carte02.txt	26	2	64460	OK	0.01	1444k
carte02.txt	26	2-500	62840	OK	0.01	1440k
carte02.txt	26	2-10	53553	Echec	0.00	1440k
carte02.txt	26	3	81290	OK	0.10	1476k
carte02.txt	26	3-100	70383	Echec	0.04	1464k
carte02.txt	26	4-200	83684	Echec	0.53	1472k
carte02.txt	26	5-200	100514	Echec	4.82	1480k
carte03.txt	20	1	6560	OK	0.00	1544k
carte03.txt	20	2	13120	OK	1.92	1560k
carte03.txt	20	2-500	13120	OK	1.92	1560k
carte03.txt	20	2-10	6560	OK	1.90	1556k
carte03.txt	20	3	19680	OK	14.98	1736k
carte03.txt	20	3-100	6560	OK	1.06	1608k
carte03.txt	20	4-200	26240	OK	3.06	1712k
carte03.txt	20	5-200	32800	OK	3.90	1760k
carte04.txt	10	1	1.002e+06	OK	0.01	1984k
